#TYPE System.ServiceProcess.ServiceController
"Name";"RequiredServices";"CanPauseAndContinue";"CanShutdown";"CanStop";"DisplayName";"DependentServices";"MachineName";"ServiceName";"ServicesDependedOn";"ServiceHandle";"Status";"ServiceType";"StartType";"Site";"Container"
"XblAuthManager";"System.ServiceProcess.ServiceController[]";"False";"False";"False";"Xbox Live Auth Manager";"System.ServiceProcess.ServiceController[]";".";"XblAuthManager";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Stopped";"Win32ShareProcess";"Manual";;
"XblGameSave";"System.ServiceProcess.ServiceController[]";"False";"False";"False";"Xbox Live Game Save";"System.ServiceProcess.ServiceController[]";".";"XblGameSave";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Stopped";"Win32ShareProcess";"Manual";;
"XboxGipSvc";"System.ServiceProcess.ServiceController[]";"False";"False";"False";"Xbox Accessory Management Service";"System.ServiceProcess.ServiceController[]";".";"XboxGipSvc";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Stopped";"Win32ShareProcess";"Manual";;
"XboxNetApiSvc";"System.ServiceProcess.ServiceController[]";"False";"False";"False";"Xbox Live Networking Service";"System.ServiceProcess.ServiceController[]";".";"XboxNetApiSvc";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Stopped";"Win32ShareProcess";"Manual";;
